PdmarticleID;ExternalKey;ParentID;ProductLevel;show_in_2024
30088;ISTYN25114000;24192;Item;yes
30089;ISTYN20044009;24192;Item;yes
30090;ISTYN25023000;24192;Item;yes
30091;ISTYN30036009;24192;Item;yes
30092;ISTYN25044000;24192;Item;yes
30093;ISTYN20114000;24192;Item;yes
30094;ISTYN30028000;24192;Item;yes
30095;ISTYN30036000;24192;Item;yes
30096;ISTYN25078000;24192;Item;yes
30097;ISTYN25050000;24192;Item;yes
30098;ISTYN30023000;24192;Item;yes
30099;ISTYN25062000;24192;Item;yes
30100;ISTYN30044000;24192;Item;yes
30101;ISTYN25028000;24192;Item;yes
30102;ISTYN30023009;24192;Item;yes
30104;ISTYN40036000;24192;Item;yes
30105;ISTYN30078000;24192;Item;yes
30106;ISTYN40062000;24192;Item;yes
30107;ISTYN40117000;24192;Item;yes
30108;ISTYN30050000;24192;Item;yes
30109;ISTYN30044009;24192;Item;yes
30110;ISTYN40090000;24192;Item;yes
30111;ISTYN30062000;24192;Item;yes
30112;ISTYN50054000;24192;Item;yes
30113;ISTYN30090000;24192;Item;yes
30114;ISTYN40078000;24192;Item;yes
30115;ISTYN40050000;24192;Item;yes
30116;ISTYN40044000;24192;Item;yes
30118;ISTYN50078000;24192;Item;yes
30121;ISTYN40054000;24192;Item;yes
30122;ISTYN50062000;24192;Item;yes
30126;ISTYN30108000;24192;Item;yes
30604;ISTYN25036000;24192;Item;yes
30605;ISTYN25090000;24192;Item;yes
30606;ISTYN45162000;24192;Item;yes
30067;ISTES00901050;24206;Item;yes
30071;ISTES00901030;24206;Item;yes
29370;ILMBA00018001;24177;Item;yes
29377;ILMBG00018001;24177;Item;yes
29378;ILMBG00028001;24177;Item;yes
29384;ILMBA00038001;24177;Item;yes
29420;ILMBA00028001;24177;Item;yes
30553;ILMBG00038001;24177;Item;yes
28348;IXBST02000000;33061;Item;yes
28245;IXBST00023000;24240;Item;yes
28337;IXBST00043000;24240;Item;yes
28340;IXBST00115000;24240;Item;yes
28342;IXBST00065000;24240;Item;yes
28343;IXBST00095000;24240;Item;yes
28344;IXBST00085000;24240;Item;yes
28347;IXBST00033000;24240;Item;yes
28353;IXBST00053000;24240;Item;yes
28356;IXBST03000000;24241;Item;yes
29988;IPMBA0001800B;24243;Item;yes
29995;IPMBA0004800B;24243;Item;yes
29996;IPMBA0003800B;24243;Item;yes
30001;IPMBA0005800B;24243;Item;yes
30009;IPMBA0002800B;24243;Item;yes
31595;IPMN000000000;24244;Item;yes
31603;IPMNG00000000;24244;Item;yes
31593;IPMNB00000000;24245;Item;yes
31596;IPMNW0000000G;24246;Item;yes
31598;IPMNW0000000W;24246;Item;yes
28476;ISTYO40090000;24250;Item;yes
28481;ISTYO20108000;24250;Item;yes
30117;ISTYO20023000;24250;Item;yes
30119;ISTYO20054000;24250;Item;yes
30120;ISTYO20028000;24250;Item;yes
30123;ISTYO20062000;24250;Item;yes
30124;ISTYO20090000;24250;Item;yes
30125;ISTYO20044000;24250;Item;yes
30127;ISTYO20078000;24250;Item;yes
30128;ISTYO20036000;24250;Item;yes
30129;ISTYO25044000;24250;Item;yes
30130;ISTYO25090000;24250;Item;yes
30131;ISTYO25028000;24250;Item;yes
